Year,Geography,Code,Name,66 + years (%)
2010,wijken,EC,Houthavens,2.5
2010,wijken,ED,De Kolenkit,7.6
2010,wijken,EE,Landlust,6.4
2010,wijken,EF,Erasmuspark,6.4
2010,wijken,EG,Centrale Markt,6.7
2010,wijken,EH,Staatsliedenbuurt,6.1
2010,wijken,EJ,Frederik Hendrikbuurt,8.6
2010,wijken,EK,Van Galenbuurt,7.5
2010,wijken,EL,Geuzenbuurt,6.8
2010,wijken,EM,Hoofdweg e.o.,7.9
2010,wijken,EN,Chassébuurt,6.7
2010,wijken,EP,Bellamybuurt,6.6
2010,wijken,EQ,Da Costabuurt,8.3
2010,wijken,ER,Westindische Buurt,7.4
2010,wijken,ES,Van Lennepbuurt,9
2010,wijken,ET,Overtoomse Sluis,5.8
2010,wijken,EU,Helmersbuurt,6.3
2010,wijken,EV,Vondelparkbuurt,13.1
2010,wijken,FA,Sloterdijk Nieuw-West,10.1
2010,wijken,FB,Geuzenveld,10.8
2010,wijken,FC,Slotermeer-West,11.5
2010,wijken,FD,Slotermeer-Noordoost,10.2
2010,wijken,FE,Slotermeer-Zuidoost,14.4
2010,wijken,FF,Lutkemeer/Ookmeer,9.5
2010,wijken,FG,De Aker,7.9
2010,wijken,FH,De Punt,16.7
2010,wijken,FJ,Osdorp-Midden,12.1
2010,wijken,FK,Osdorp-Oost,22.3
2010,wijken,FL,Slotervaart-Noord,15.4
2010,wijken,FM,Overtoomse Veld,9.1
2010,wijken,FN,Slotervaart-Zuid,18.1
2010,wijken,FP,Westlandgracht,9.9
2010,wijken,FQ,Sloten/Nieuw-Sloten,9.7
2010,wijken,KA,Hoofddorppleinbuurt,8.3
2010,wijken,KB,Schinkelbuurt,9.7
2010,wijken,KC,Willemspark,8.8
2010,wijken,KD,Museumkwartier,12.4
2010,wijken,KE,Oude Pijp,5.3
2010,wijken,KF,Nieuwe Pijp,9.4
2010,wijken,KG,Zuid Pijp,10.4
2010,wijken,KH,Stadionbuurt,11.3
2010,wijken,KJ,Apollobuurt,14.6
2010,wijken,KK,Scheldebuurt,12.5
2010,wijken,KL,IJselbuurt,9.6
