Year,Geography,Code,Name,Appearance living environment (1-10)
2011,wijken,NK,Volewijck,6.1
2011,wijken,NL,IJplein/Vogelbuurt,6
2011,wijken,NM,Tuindorp Buiksloot,6.8
2011,wijken,NN,Tuindorp Nieuwendam,7.3
2011,wijken,NP,Noordelijke IJ-oevers-Oost,
2011,wijken,NQ,Waterland,7.3
2011,wijken,SA,Driemond,6.9
2011,wijken,TA,Amstel III/Bullewijk,
2011,wijken,TB,Venserpolder,
2011,wijken,TC,Amsterdamse Poort e.o.,
2011,wijken,TD,H-buurt,6.3
2011,wijken,TE,Ganzenhoef e.o.,
2011,wijken,TF,Geerdinkhof/Kantershof,6.1
2011,wijken,TG,Bijlmermuseum,
2011,wijken,TH,K-buurt,
2011,wijken,TJ,Holendrecht,6.8
2011,wijken,TK,Nellestein,7.8
2011,wijken,TL,Reigersbos,6.9
2011,wijken,TM,Gein,6.9
2013,wijken,AA,Haarlemmerbuurt,7.5
2013,wijken,AB,Jordaan,7.2
2013,wijken,AC,Grachtengordel-West,8.1
2013,wijken,AD,Burgwallen-Nieuwe Zijde,6.8
2013,wijken,AE,Burgwallen-Oude Zijde,7
2013,wijken,AF,Nieuwmarkt/Lastage,7.3
2013,wijken,AG,Grachtengordel-Zuid,7.5
2013,wijken,AH,De Weteringschans,7.5
2013,wijken,AJ,Weesperbuurt/Plantage,7.2
2013,wijken,AK,Oostelijke Eilanden/Kadijken,7.1
2013,wijken,BA,Havens-West,
2013,wijken,BB,Coenhaven/Minervahaven,
2013,wijken,EA,Sloterdijk-West,
2013,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,6.7
2013,wijken,EC,Houthavens,7
2013,wijken,ED,De Kolenkit,6.1
2013,wijken,EE,Landlust,6.3
2013,wijken,EF,Erasmuspark,6.5
2013,wijken,EG,Centrale Markt,7.5
2013,wijken,EH,Staatsliedenbuurt,7.1
2013,wijken,EJ,Frederik Hendrikbuurt,7
2013,wijken,EK,Van Galenbuurt,6.5
2013,wijken,EL,Geuzenbuurt,6.9
2013,wijken,EM,Hoofdweg e.o.,6.4
2013,wijken,EN,Chassébuurt,6.3
2013,wijken,EP,Bellamybuurt,6.5
2013,wijken,EQ,Da Costabuurt,7
2013,wijken,ER,Westindische Buurt,7
2013,wijken,ES,Van Lennepbuurt,6.7
2013,wijken,ET,Overtoomse Sluis,7.1
2013,wijken,EU,Helmersbuurt,7.3
2013,wijken,EV,Vondelparkbuurt,7.4
2013,wijken,FA,Sloterdijk Nieuw-West,
2013,wijken,FB,Geuzenveld,
2013,wijken,FC,Slotermeer-West,
2013,wijken,FD,Slotermeer-Noordoost,6.4
2013,wijken,FE,Slotermeer-Zuidoost,
2013,wijken,FF,Lutkemeer/Ookmeer,
2013,wijken,FG,De Aker,6.9
2013,wijken,FH,De Punt,6.6
2013,wijken,FJ,Osdorp-Midden,6.6
2013,wijken,FK,Osdorp-Oost,6.7
2013,wijken,FL,Slotervaart-Noord,6.9
2013,wijken,FM,Overtoomse Veld,5.8
2013,wijken,FN,Slotervaart-Zuid,6.4
2013,wijken,FP,Westlandgracht,6.4
2013,wijken,FQ,Sloten/Nieuw-Sloten,7.4
2013,wijken,KA,Hoofddorppleinbuurt,6.9
2013,wijken,KB,Schinkelbuurt,6.8
2013,wijken,KC,Willemspark,7.7
2013,wijken,KD,Museumkwartier,7.8
2013,wijken,KE,Oude Pijp,6.5
2013,wijken,KF,Nieuwe Pijp,6.8
2013,wijken,KG,Zuid Pijp,6.8
2013,wijken,KH,Stadionbuurt,7.1
2013,wijken,KJ,Apollobuurt,7.8
2013,wijken,KK,Scheldebuurt,7.3
2013,wijken,KL,IJselbuurt,7
2013,wijken,KM,Rijnbuurt,7.1
2013,wijken,KN,Prinses Irenebuurt e.o.,7.5
2013,wijken,KP,Zuidas,6.9
2013,wijken,KQ,Buitenveldert-West,7.2
2013,wijken,KR,Buitenveldert-Oost,7.1
2013,wijken,MA,Oostelijk Havengebied,7.4
2013,wijken,MB,Weesperzijde,7
2013,wijken,MC,Oosterparkbuurt,6.4
2013,wijken,MD,Transvaalbuurt,6.4
2013,wijken,ME,Dapperbuurt,6.6
2013,wijken,MF,Indische Buurt-West,6.5
2013,wijken,MG,Indische Buurt-Oost,6.2
2013,wijken,MH,Zeeburgereiland/Bovendiep,4.6
2013,wijken,MJ,IJburg-West,6.9
2013,wijken,MK,IJburg-Oost,
2013,wijken,ML,IJburg-Zuid,6.8
2013,wijken,MM,Frankendael,7
2013,wijken,MN,Middenmeer,7.4
2013,wijken,MP,Betondorp,7.1
2013,wijken,MQ,Omval/Overamstel,4.6
2013,wijken,NA,Oostzanerwerf,
2013,wijken,NB,Noordelijke IJ-oevers-West,6
2013,wijken,NC,Tuindorp Oostzaan,6.7
2013,wijken,ND,Kadoelen,7.3
2013,wijken,NE,Banne Buiksloot,6.5
2013,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,7.6
2013,wijken,NG,Elzenhagen,7.2
2013,wijken,NH,Buikslotermeer,6.6
2013,wijken,NJ,Waterlandpleinbuurt,6.5
2013,wijken,NK,Volewijck,6.3
2013,wijken,NL,IJplein/Vogelbuurt,6.2
2013,wijken,NM,Tuindorp Buiksloot,6.4
2013,wijken,NN,Tuindorp Nieuwendam,7.1
2013,wijken,NP,Noordelijke IJ-oevers-Oost,
2013,wijken,NQ,Waterland,7.5
2013,wijken,SA,Driemond,6.7
2013,wijken,TA,Amstel III/Bullewijk,
2013,wijken,TB,Venserpolder,
2013,wijken,TC,Amsterdamse Poort e.o.,
2013,wijken,TD,H-buurt,6.3
2013,wijken,TE,Ganzenhoef e.o.,
2013,wijken,TF,Geerdinkhof/Kantershof,6.5
2013,wijken,TG,Bijlmermuseum,
2013,wijken,TH,K-buurt,
2013,wijken,TJ,Holendrecht,6.8
2013,wijken,TK,Nellestein,7.3
2013,wijken,TL,Reigersbos,6.8
2013,wijken,TM,Gein,6.9
2015,wijken,AA,Haarlemmerbuurt,7.4
2015,wijken,AB,Jordaan,7.3
2015,wijken,AC,Grachtengordel-West,8
2015,wijken,AD,Burgwallen-Nieuwe Zijde,6.9
2015,wijken,AE,Burgwallen-Oude Zijde,6.8
2015,wijken,AF,Nieuwmarkt/Lastage,6.9
2015,wijken,AG,Grachtengordel-Zuid,7.9
2015,wijken,AH,De Weteringschans,7.5
2015,wijken,AJ,Weesperbuurt/Plantage,7.1
2015,wijken,AK,Oostelijke Eilanden/Kadijken,7.1
2015,wijken,BA,Havens-West,
2015,wijken,BB,Coenhaven/Minervahaven,
2015,wijken,EA,Sloterdijk-West,
2015,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,6.9
2015,wijken,EC,Houthavens,6.7
2015,wijken,ED,De Kolenkit,6.1
2015,wijken,EE,Landlust,6.3
2015,wijken,EF,Erasmuspark,6.3
2015,wijken,EG,Centrale Markt,7.5
2015,wijken,EH,Staatsliedenbuurt,6.9
2015,wijken,EJ,Frederik Hendrikbuurt,6.9
2015,wijken,EK,Van Galenbuurt,6.8
2015,wijken,EL,Geuzenbuurt,6.9
2015,wijken,EM,Hoofdweg e.o.,6.6
2015,wijken,EN,Chassébuurt,6.3
2015,wijken,EP,Bellamybuurt,6.6
2015,wijken,EQ,Da Costabuurt,7.2
2015,wijken,ER,Westindische Buurt,6.7
2015,wijken,ES,Van Lennepbuurt,6.7
2015,wijken,ET,Overtoomse Sluis,7.1
2015,wijken,EU,Helmersbuurt,7.3
2015,wijken,EV,Vondelparkbuurt,7.4
2015,wijken,FA,Sloterdijk Nieuw-West,
2015,wijken,FB,Geuzenveld,
2015,wijken,FC,Slotermeer-West,
2015,wijken,FD,Slotermeer-Noordoost,5.9
2015,wijken,FE,Slotermeer-Zuidoost,
2015,wijken,FF,Lutkemeer/Ookmeer,
2015,wijken,FG,De Aker,6.8
2015,wijken,FH,De Punt,6.4
2015,wijken,FJ,Osdorp-Midden,6.6
2015,wijken,FK,Osdorp-Oost,6.4
2015,wijken,FL,Slotervaart-Noord,6.7
2015,wijken,FM,Overtoomse Veld,5.9
2015,wijken,FN,Slotervaart-Zuid,6.4
2015,wijken,FP,Westlandgracht,6.2
2015,wijken,FQ,Sloten/Nieuw-Sloten,7.1
2015,wijken,KA,Hoofddorppleinbuurt,7
2015,wijken,KB,Schinkelbuurt,6.7
2015,wijken,KC,Willemspark,7.8
2015,wijken,KD,Museumkwartier,7.6
2015,wijken,KE,Oude Pijp,6.7
2015,wijken,KF,Nieuwe Pijp,6.8
2015,wijken,KG,Zuid Pijp,6.8
2015,wijken,KH,Stadionbuurt,7.2
2015,wijken,KJ,Apollobuurt,7.9
2015,wijken,KK,Scheldebuurt,7.3
2015,wijken,KL,IJselbuurt,7
2015,wijken,KM,Rijnbuurt,7
